gene_id	gene	aliases	string	function	citation
29089	FANCT	UBE2T	FANCT, UBE2T	Fanconi core complex	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4865030/
348654	GEN1		GEN1	Holliday junction resolution	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4678824/
3280	HES1	BHLHb39, HHL, HRY	HES1, BHLHb39, HHL, HRY	Fanconi core complex	https://www.genome.jp/dbget-bin/www_bget?map03460
201254	MHF	STRA13, MHF2, CENPX	MHF, STRA13, MHF2, CENPX	Fanconi core complex	https://www.genome.jp/dbget-bin/www_bget?map03460
4361	MRE11A	MRE11	MRE11A, MRE11	MRN complex	https://www.genome.jp/kegg-bin/show_pathway?map03440
80198	MUS81	SLX3	MUS81, SLX3	Holliday junction cleavage	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4027171/
29086	NBA1	BABAM1, C19orf62, MERIT40	NBA1, BABAM1, C19orf62, MERIT40	DSB recognition	https://www.genome.jp/kegg-bin/show_pathway?map03440
4683	NBN	NBS1, NBS, P95	NBN, NBS1, NBS, P95	MRN complex	https://www.genome.jp/kegg-bin/show_pathway?map03440
7157	P53	TP53	P53, TP53	Filament formation	https://www.nature.com/articles/nrm1546/figures/4
79728	PALB2	FANCN, PNCA3	PALB2, FANCN, PNCA3	Filament formation	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4865030/
5728	PTEN		PTEN	Cell-cycle checkpoint	https://www.nature.com/articles/s41598-018-22289-7
10111	RAD50		RAD50	MRN complex	https://www.genome.jp/kegg-bin/show_pathway?map03440
5890	RAD51B		RAD51B	Filament formation	https://www.genome.jp/kegg-bin/show_pathway?map03440
5889	RAD51C	FANCO, RAD51L2, R51H3	RAD51C, FANCO, RAD51L2, R51H3	Filament formation	https://www.genome.jp/kegg-bin/show_pathway?map03440
5892	RAD51D		RAD51D	Filament formation	https://www.genome.jp/kegg-bin/show_pathway?map03440
5893	RAD52		RAD52	Filament formation	https://www.genome.jp/kegg-bin/show_pathway?map03440
8438	RAD54	RAD54L, RAD54L2	RAD54, RAD54L, RAD54L2	Strand invasion	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2827677/
25788	RAD54B	RDH54	RAD54B, RDH54	Strand invasion	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2827677/
51720	RAP80	UIMC1,  X2HRIP110, RXRIP110	RAP80, UIMC1,  X2HRIP110, RXRIP110	DSB recognition	https://www.genome.jp/kegg-bin/show_pathway?map03440
6117	RPA1	REPA1	RPA1, REPA1	Filament formation	https://www.genome.jp/kegg-bin/show_pathway?map03440
6118	RPA2	REPA2	RPA2, REPA2	Filament formation	https://www.genome.jp/kegg-bin/show_pathway?map03440
6794	STK11	LKB1	STK11, LKB1	Promotes HR activity	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5341986/
11073	TOPBP1	TOP2BP1, KIAA0259	TOPBP1, TOP2BP1, KIAA0259	DSB recognition	https://www.genome.jp/kegg-bin/show_pathway?map03440
7516	XRCC2	RAD51-like, FANCU	XRCC2, RAD51-like, FANCU	Filament formation	https://www.genome.jp/kegg-bin/show_pathway?map03440
7517	XRCC3	RAD51-like, CMM6	XRCC3, RAD51-like, CMM6	Filament formation	https://www.genome.jp/kegg-bin/show_pathway?map03440
